Speaker		Gender	#Lines	Play	TopVillain	Fools
Bottom		Male	255	A Midsummer Night's Dream		fool
Theseus		Male	235	A Midsummer Night's Dream		
Helena		Female	230	A Midsummer Night's Dream		
Oberon		Male	225	A Midsummer Night's Dream		
Puck		Male	206	A Midsummer Night's Dream		fool
Lysander		Male	179	A Midsummer Night's Dream		
Hermia		Female	164	A Midsummer Night's Dream		
Titania		Female	141	A Midsummer Night's Dream		
Demetrius		Male	136	A Midsummer Night's Dream		
Quince		Male	121	A Midsummer Night's Dream		
Flute		Male	57	A Midsummer Night's Dream		
Egeus		Male	41	A Midsummer Night's Dream		
Hippolyta		Female	35	A Midsummer Night's Dream		
Fairy		Male	28	A Midsummer Night's Dream		
Philostrate		Male	24	A Midsummer Night's Dream		
Snout		Male	22	A Midsummer Night's Dream		
Chorus		Male	14	A Midsummer Night's Dream		
Snug		Male	14	A Midsummer Night's Dream		
Starveling		Male	11	A Midsummer Night's Dream		
First Fairy		Male	8	A Midsummer Night's Dream		
Mustardseed		Male	5	A Midsummer Night's Dream		
Peaseblossom		Male	4	A Midsummer Night's Dream		
Cobweb		Male	4	A Midsummer Night's Dream		
Second Fairy		Male	2	A Midsummer Night's Dream		
Moth		Male	2	A Midsummer Night's Dream		
All Fairies		Male	1	A Midsummer Night's Dream		
All Mechanicals		Male	1	A Midsummer Night's Dream		
Helena		Female	478	All's Well That Ends Well		
King		Male	380	All's Well That Ends Well		
Parolles		Male	373	All's Well That Ends Well		
Countess		Female	291	All's Well That Ends Well		
Bertram		Male	277	All's Well That Ends Well		
Lafew		Male	276	All's Well That Ends Well		
Clown		Male	195	All's Well That Ends Well		fool
First Lord		Male	173	All's Well That Ends Well		
Diana		Female	138	All's Well That Ends Well		
Second Lord		Male	119	All's Well That Ends Well		
First Soldier		Male	82	All's Well That Ends Well		
Widow		Female	64	All's Well That Ends Well		
Steward		Male	42	All's Well That Ends Well		
Gentleman		Male	21	All's Well That Ends Well		
Mariana		Female	20	All's Well That Ends Well		
Duke		Male	19	All's Well That Ends Well		
Epilogue		Male	6	All's Well That Ends Well		
Messenger		Male	4	All's Well That Ends Well		
Second Soldier		Male	2	All's Well That Ends Well		
Page		Male	1	All's Well That Ends Well		
Both Lords		Male	1	All's Well That Ends Well		
All Soldiers		Male	1	All's Well That Ends Well		
All The Lords		Male	1	All's Well That Ends Well		
Attendant		Male	1	All's Well That Ends Well		
Fourth Lord		Male	1	All's Well That Ends Well		
Widow And Mariana		Female	1	All's Well That Ends Well		
Antony		Male	839	Antony and Cleopatra		
Cleopatra		Female	678	Antony and Cleopatra		
Caesar		Male	419	Antony and Cleopatra		
Enobarbus		Male	346	Antony and Cleopatra		
Pompey		Male	136	Antony and Cleopatra		
Charmian		Female	109	Antony and Cleopatra		
Lepidus		Male	67	Antony and Cleopatra		
Menas		Male	62	Antony and Cleopatra		
Agrippa		Male	60	Antony and Cleopatra		
Eros		Male	47	Antony and Cleopatra		
Dolabella		Male	47	Antony and Cleopatra		
Messenger To Cleopatra		Male	42	Antony and Cleopatra		
Scarus		Male	40	Antony and Cleopatra		
Octavia		Female	36	Antony and Cleopatra		
Maecenas		Male	36	Antony and Cleopatra		
Alexas		Male	32	Antony and Cleopatra		
Proculeius		Male	32	Antony and Cleopatra		
Soothsayer		Male	31	Antony and Cleopatra		
Thidias		Male	31	Antony and Cleopatra		
Ventidius		Male	30	Antony and Cleopatra		
Soldier		Male	29	Antony and Cleopatra		
Clown		Male	27	Antony and Cleopatra		
Iras		Female	26	Antony and Cleopatra		
Canidius		Male	25	Antony and Cleopatra		
Decretas		Male	21	Antony and Cleopatra		
Messenger		Male	20	Antony and Cleopatra		
Mardian		Male	19	Antony and Cleopatra		
Diomedes		Male	19	Antony and Cleopatra		
Messenger To Caesar		Male	18	Antony and Cleopatra		
Philo		Male	17	Antony and Cleopatra		
Ambassador		Male	16	Antony and Cleopatra		
Sentry		Male	14	Antony and Cleopatra		
First Guard Of Caesar'S		Male	14	Antony and Cleopatra		
First Soldier		Male	14	Antony and Cleopatra		
Second Soldier		Male	13	Antony and Cleopatra		
Silius		Male	11	Antony and Cleopatra		
Soldier Of Caesar'S		Male	9	Antony and Cleopatra		
First Servant		Male	9	Antony and Cleopatra		
Second Servant		Male	7	Antony and Cleopatra		
Second Watch		Male	6	Antony and Cleopatra		
First Watch		Male	6	Antony and Cleopatra		
Menecrates		Male	6	Antony and Cleopatra		
Boy		Male	6	Antony and Cleopatra		
Egyptian		Male	6	Antony and Cleopatra		
Demetrius		Male	5	Antony and Cleopatra		
First Guard		Male	5	Antony and Cleopatra		
Seleucus		Male	5	Antony and Cleopatra		
Second Messenger		Male	4	Antony and Cleopatra		
Guardsman		Male	4	Antony and Cleopatra		
Third Soldier		Male	4	Antony and Cleopatra		
Varrius		Male	4	Antony and Cleopatra		
All		Male	4	Antony and Cleopatra		
All The Guards		Male	3	Antony and Cleopatra		
Servant		Male	3	Antony and Cleopatra		
Second Guard		Male	2	Antony and Cleopatra		
Second Guard Of Caesar'S		Male	2	Antony and Cleopatra		
Gallus		Male	2	Antony and Cleopatra		
All Soldiers		Male	2	Antony and Cleopatra		
All Attendants		Male	1	Antony and Cleopatra		
All Caesar'S Attendants		Male	1	Antony and Cleopatra		
All Lords		Male	1	Antony and Cleopatra		
Third Guard		Male	1	Antony and Cleopatra		
Taurus		Male	1	Antony and Cleopatra		
Fourth Soldier		Male	1	Antony and Cleopatra		
Maecenas And Agrippa		Male	1	Antony and Cleopatra		
Second Attendant		Male	1	Antony and Cleopatra		
All The Servants		Male	1	Antony and Cleopatra		
All The Soldiers		Male	1	Antony and Cleopatra		
All The Triumvirs		Male	1	Antony and Cleopatra		
First Attendant		Male	1	Antony and Cleopatra		
Captain		Male	1	Antony and Cleopatra		
Rosalind		Female	685	As You Like It		
Orlando		Male	301	As You Like It		
Touchstone		Male	283	As You Like It		fool
Celia		Female	282	As You Like It		
Jaques		Male	221	As You Like It		
Oliver		Male	148	As You Like It		
Duke		Male	109	As You Like It		
Phebe		Female	86	As You Like It		
Silvius		Male	75	As You Like It		
Corin		Male	71	As You Like It		
Duke Frederick		Male	68	As You Like It		
Adam		Male	65	As You Like It		
Le Beau		Male	48	As You Like It		
Amiens		Male	42	As You Like It		
First Lord		Male	42	As You Like It		
Charles		Male	40	As You Like It		
Hymen		Male	31	As You Like It		
Pages		Male	25	As You Like It		
Audrey		Female	20	As You Like It		
Jaques De Boys		Male	17	As You Like It		
William		Male	11	As You Like It		
Lords		Male	11	As You Like It		
Second Lord To Frederick		Male	9	As You Like It		
All Together		Male	8	As You Like It		
First Page		Male	6	As You Like It		
Sir Oliver		Male	5	As You Like It		
First Lord To Frederick		Male	4	As You Like It		
Dennis		Male	3	As You Like It		
Second Page		Male	3	As You Like It		
Lord		Male	2	As You Like It		
Second Lord		Male	2	As You Like It		
Coriolanus		Male	675	Coriolanus		
Menenius		Male	578	Coriolanus		
Volumnia		Female	311	Coriolanus		
Sicinius		Male	302	Coriolanus		
Cominius		Male	278	Coriolanus		
Aufidius		Male	274	Coriolanus		
Brutus		Male	246	Coriolanus		
Martius		Male	212	Coriolanus		
First Citizen		Male	89	Coriolanus		
Lartius		Male	60	Coriolanus		
Third Citizen		Male	53	Coriolanus		
Third Servingman		Male	52	Coriolanus		
First Senator		Male	42	Coriolanus		
Valeria		Female	40	Coriolanus		
Messenger		Male	38	Coriolanus		
Second Servingman		Male	37	Coriolanus		
Virgilia		Female	36	Coriolanus		
First Servingman		Male	36	Coriolanus		
First Watch		Male	31	Coriolanus		
Second Citizen		Male	30	Coriolanus		
Roman		Male	27	Coriolanus		
Second Officer		Male	20	Coriolanus		
Volsce		Male	20	Coriolanus		
Second Messenger		Male	19	Coriolanus		
Plebeians		Male	16	Coriolanus		
Aedile		Male	15	Coriolanus		
All Citizens		Male	14	Coriolanus		
First Volscian Senator		Male	14	Coriolanus		
First Officer		Male	14	Coriolanus		
First Lord		Male	13	Coriolanus		
Second Watch		Male	12	Coriolanus		
Third Conspirator		Male	12	Coriolanus		
Lieutenant To Aufidius		Male	11	Coriolanus		
Second Lord		Male	9	Coriolanus		
First Conspirator		Male	8	Coriolanus		
First Soldier		Male	7	Coriolanus		
Fourth Citizen		Male	7	Coriolanus		
Second Conspirator		Male	7	Coriolanus		
Second Volscian Senator		Male	7	Coriolanus		
Herald		Male	6	Coriolanus		
Both Tribunes		Male	5	Coriolanus		
Citizen		Male	4	Coriolanus		
Both Servingmen		Male	4	Coriolanus		
First Volscian Soldier		Male	4	Coriolanus		
Citizens		Male	3	Coriolanus		
All The People		Male	3	Coriolanus		
Seventh Citizen		Male	3	Coriolanus		
Third Lord		Male	2	Coriolanus		
Second Senator		Male	2	Coriolanus		
Sixth Citizen		Male	2	Coriolanus		
All Senators		Male	2	Coriolanus		
All Soldiers		Male	2	Coriolanus		
All Conspirators		Male	2	Coriolanus		
All Lords		Male	2	Coriolanus		
Boy		Male	2	Coriolanus		
Fifth Citizen		Male	2	Coriolanus		
Gentlewoman		Female	2	Coriolanus		
Patrician		Male	2	Coriolanus		
Lords		Male	1	Coriolanus		
Patricians		Male	1	Coriolanus		
Noble		Male	1	Coriolanus		
Officer		Male	1	Coriolanus		
Lieutenant		Male	1	Coriolanus		
First Roman		Male	1	Coriolanus		
Both Citizens		Male	1	Coriolanus		
All Roman Soldiers		Male	1	Coriolanus		
Aediles		Male	1	Coriolanus		
Senators		Male	1	Coriolanus		
Second Soldier		Male	1	Coriolanus		
Second Roman		Male	1	Coriolanus		
Third Roman		Male	1	Coriolanus		
Virgilia And Valeria		Female	1	Coriolanus		
Tribunes		Male	1	Coriolanus		
Innogen		Female	594	Cymbeline		
Posthumus		Male	442	Cymbeline		
Iachimo		Male	430	Cymbeline		
Belarius		Male	336	Cymbeline		
Cymbeline		Male	290	Cymbeline	yes	
Cloten		Male	260	Cymbeline		
Pisanio		Male	217	Cymbeline		
Queen		Female	168	Cymbeline		
Guiderius		Male	164	Cymbeline		
Arviragus		Male	138	Cymbeline		
Lucius		Male	104	Cymbeline		
Cornelius		Male	73	Cymbeline		
First Gentleman		Male	66	Cymbeline		
Second Lord		Male	46	Cymbeline		
First Gaoler		Male	45	Cymbeline		
Soothsayer		Male	43	Cymbeline		
Philario		Male	43	Cymbeline		
First Lord		Male	42	Cymbeline		
Sicilius		Male	40	Cymbeline		
Frenchman		Male	22	Cymbeline		
Jupiter		Male	21	Cymbeline		
First Senator		Male	15	Cymbeline		
Second Gentleman		Male	13	Cymbeline		
Queen'S Lady		Female	13	Cymbeline		
Mother		Female	12	Cymbeline		
First Brother		Male	12	Cymbeline		
Roman Captain		Male	11	Cymbeline		
Singer		Male	7	Cymbeline		
Lord		Male	7	Cymbeline		
Second Brother		Male	6	Cymbeline		
Second Captain		Male	6	Cymbeline		
Messenger		Male	4	Cymbeline		
First Captain		Male	4	Cymbeline		
Both		Male	4	Cymbeline		
Attendant		Male	3	Cymbeline		
First Tribune		Male	3	Cymbeline		
Brothers		Male	2	Cymbeline		
Cloten And Lords		Male	1	Cymbeline		fool
All		Male	1	Cymbeline		
First Lady		Female	1	Cymbeline		
Ladies		Female	1	Cymbeline		
Guiderius And Arviragus		Male	1	Cymbeline		
Second Gaoler		Male	1	Cymbeline		
Second Senator		Male	1	Cymbeline		
Hamlet		Male	1506	Hamlet		
King		Male	552	Hamlet		
Polonius		Male	357	Hamlet		
Horatio		Male	294	Hamlet		
Laertes		Male	210	Hamlet		
Ophelia		Female	173	Hamlet		
Queen		Female	157	Hamlet		
Rosencrantz		Male	100	Hamlet		
First Player		Male	96	Hamlet		
Ghost		Male	95	Hamlet		
First Clown		Male	94	Hamlet		
Marcellus		Male	61	Hamlet		
Guildenstern		Male	53	Hamlet		
Osrick		Male	49	Hamlet		
Barnardo		Male	34	Hamlet		
Second Player		Male	31	Hamlet		
Fortinbras		Male	27	Hamlet		
Voltemand		Male	21	Hamlet		
Second Clown		Male	18	Hamlet		
Messenger		Male	16	Hamlet		
Reynaldo		Male	15	Hamlet		
Gentleman		Male	14	Hamlet		
Priest		Male	13	Hamlet		
Captain		Male	12	Hamlet		
Francisco		Male	10	Hamlet		
Lord		Male	7	Hamlet		
Ambassador		Male	6	Hamlet		
Third Player		Male	6	Hamlet		
Sailor		Male	5	Hamlet		
All		Male	4	Hamlet		
Fourth Player		Male	3	Hamlet		
All Lords		Male	2	Hamlet		
Rosencrantz And Guildenstern		Male	2	Hamlet		
Horatio And Marcellus		Male	2	Hamlet		
His Followers		Male	2	Hamlet		
Gentlemen		Male	1	Hamlet		
Marcellus And Barnardo		Male	1	Hamlet		
Voices		Male	1	Hamlet		
Voltemand And Cornelius		Male	1	Hamlet		
Falstaff		Male	602	Henry IV Part 1		fool
Prince Hal		Male	572	Henry IV Part 1		
Hotspur		Male	559	Henry IV Part 1		
King Henry		Male	339	Henry IV Part 1		
Worcester		Male	189	Henry IV Part 1		
Poins		Male	79	Henry IV Part 1		
Glendower		Male	77	Henry IV Part 1		
Vernon		Male	66	Henry IV Part 1		
Mortimer		Male	60	Henry IV Part 1		
Lady Percy		Female	57	Henry IV Part 1		
Hostess		Female	49	Henry IV Part 1		
Gadshill		Male	45	Henry IV Part 1		
Douglas		Male	45	Henry IV Part 1		
Westmorland		Male	42	Henry IV Part 1		
Blunt		Male	41	Henry IV Part 1		
Archbishop		Male	34	Henry IV Part 1		
Bardolph		Male	29	Henry IV Part 1		
Northumberland		Male	26	Henry IV Part 1		
First Carrier		Male	23	Henry IV Part 1		
Chamberlain		Male	19	Henry IV Part 1		
Second Carrier		Male	18	Henry IV Part 1		
Francis		Male	16	Henry IV Part 1		
Peto		Male	15	Henry IV Part 1		
Sheriff		Male	8	Henry IV Part 1		
Sir Michael		Male	8	Henry IV Part 1		
Lancaster		Male	8	Henry IV Part 1		
Messenger		Male	6	Henry IV Part 1		
First Traveller		Male	5	Henry IV Part 1		
Vintner		Male	4	Henry IV Part 1		
Servant		Male	3	Henry IV Part 1		
Second Messenger		Male	1	Henry IV Part 1		
Second Traveller		Male	1	Henry IV Part 1		
Ostler		Male	1	Henry IV Part 1		
First Messenger		Male	1	Henry IV Part 1		
Thieves		Male	1	Henry IV Part 1		
Falstaff		Male	641	Henry IV Part 2		fool
Prince Henry		Male	313	Henry IV Part 2		
King Henry Iv		Male	291	Henry IV Part 2		
Shallow		Male	195	Henry IV Part 2		
Hostess		Female	171	Henry IV Part 2		
Lord Chief Justice		Male	160	Henry IV Part 2		
Archbishop		Male	148	Henry IV Part 2		
Westmorland		Male	109	Henry IV Part 2		
Prince John		Male	108	Henry IV Part 2		
Northumberland		Male	106	Henry IV Part 2		
Bardolph		Male	87	Henry IV Part 2		
Pistol		Male	80	Henry IV Part 2		
Morton		Male	79	Henry IV Part 2		
Doll		Female	78	Henry IV Part 2		
Warwick		Male	77	Henry IV Part 2		
Poins		Male	60	Henry IV Part 2		
Hastings		Male	57	Henry IV Part 2		
Mowbray		Male	56	Henry IV Part 2		
Bardolph		Male	47	Henry IV Part 2		
Lady Percy		Female	46	Henry IV Part 2		
Silence		Male	45	Henry IV Part 2		
Rumour		Male	40	Henry IV Part 2		
Davy		Male	33	Henry IV Part 2		
Epilogue		Male	32	Henry IV Part 2		
Page		Male	31	Henry IV Part 2		
Clarence		Male	21	Henry IV Part 2		
Travers		Male	15	Henry IV Part 2		
Gloucester		Male	15	Henry IV Part 2		
Bullcalf		Male	13	Henry IV Part 2		
Mouldy		Male	12	Henry IV Part 2		
Servant		Male	12	Henry IV Part 2		
Drawer		Male	11	Henry IV Part 2		
Feeble		Male	11	Henry IV Part 2		
First Beadle		Male	10	Henry IV Part 2		
Colevile		Male	9	Henry IV Part 2		
Fang		Male	8	Henry IV Part 2		
Francis		Male	8	Henry IV Part 2		
Gower		Male	8	Henry IV Part 2		
Harcourt		Male	8	Henry IV Part 2		
Peto		Male	6	Henry IV Part 2		
Shadow		Male	5	Henry IV Part 2		
Lady Northumberland		Female	5	Henry IV Part 2		
Messenger		Male	4	Henry IV Part 2		
Porter		Male	4	Henry IV Part 2		
Will		Male	4	Henry IV Part 2		
Snare		Male	3	Henry IV Part 2		
Third Groom		Male	2	Henry IV Part 2		
Wart		Male	2	Henry IV Part 2		
Second Groom		Male	1	Henry IV Part 2		
Princes		Male	1	Henry IV Part 2		
Gloucester And Clarence		Male	1	Henry IV Part 2		
First Groom		Male	1	Henry IV Part 2		
King Henry		Male	1031	Henry V		
Fluellen		Male	278	Henry V		
Canterbury		Male	224	Henry V		
Chorus		Male	223	Henry V		
Pistol		Male	162	Henry V		
Exeter		Male	129	Henry V		
Constable		Male	123	Henry V		
Dauphin		Male	115	Henry V		
French King		Male	94	Henry V		
Williams		Male	70	Henry V		
Boy		Male	69	Henry V		
Burgundy		Male	67	Henry V		
Gower		Male	64	Henry V		
Katherine		Female	61	Henry V		
Montjoy		Male	52	Henry V		
Orleans		Male	45	Henry V		
Nym		Male	44	Henry V		
Hostess		Female	42	Henry V		
Bardolph		Male	32	Henry V		
Alice		Female	28	Henry V		
Ely		Male	27	Henry V		
Westmorland		Male	27	Henry V		
Queen Isabel		Female	24	Henry V		
Macmorris		Male	19	Henry V		
French Soldier		Male	18	Henry V		
Grandpr?		Male	18	Henry V		
Bates		Male	18	Henry V		
Ambassador		Male	17	Henry V		
Cambridge		Male	15	Henry V		
Scroop		Male	12	Henry V		
Grey		Male	12	Henry V		
Jamy		Male	11	Henry V		
Britaine		Male	9	Henry V		
Bourbon		Male	9	Henry V		
Rambures		Male	9	Henry V		
Salisbury		Male	9	Henry V		
Erpingham		Male	7	Henry V		
Bedford		Male	7	Henry V		
Governor		Male	7	Henry V		
Messenger		Male	6	Henry V		
Gloucester		Male	5	Henry V		
Court		Male	2	Henry V		
York		Male	2	Henry V		
Warwick		Male	1	Henry V		
All		Male	1	Henry V		
Grey And Scroop		Male	1	Henry V		
Herald		Male	1	Henry V		
Lords		Male	1	Henry V		
Talbot		Male	406	Henry VI Part 1		
Pucelle		Female	254	Henry VI Part 1		
Richard		Male	184	Henry VI Part 1		
Gloucester		Male	183	Henry VI Part 1		
King		Male	179	Henry VI Part 1		
Suffolk		Male	174	Henry VI Part 1		
Charles		Male	135	Henry VI Part 1		
Winchester		Male	96	Henry VI Part 1		
Mortimer		Male	88	Henry VI Part 1		
Lucy		Male	77	Henry VI Part 1		
Bedford		Male	76	Henry VI Part 1		
Warwick		Male	72	Henry VI Part 1		
Somerset		Male	64	Henry VI Part 1		
Reignier		Male	59	Henry VI Part 1		
Exeter		Male	59	Henry VI Part 1		
Alen?on		Male	49	Henry VI Part 1		
John		Male	47	Henry VI Part 1		
Countess		Female	45	Henry VI Part 1		
Third Messenger		Male	45	Henry VI Part 1		
Burgundy		Male	43	Henry VI Part 1		
Margaret		Female	33	Henry VI Part 1		
Vernon		Male	29	Henry VI Part 1		
Bastard		Male	29	Henry VI Part 1		
General		Male	27	Henry VI Part 1		
Basset		Male	25	Henry VI Part 1		
Messenger		Male	24	Henry VI Part 1		
Shepherd		Male	24	Henry VI Part 1		
Mayor		Male	21	Henry VI Part 1		
First Messenger		Male	18	Henry VI Part 1		
Master Gunner		Male	18	Henry VI Part 1		
Salisbury		Male	15	Henry VI Part 1		
Third Servingman		Male	10	Henry VI Part 1		
Falstaff		Male	8	Henry VI Part 1		
First Servingman		Male	7	Henry VI Part 1		
Second Messenger		Male	7	Henry VI Part 1		
Officer		Male	6	Henry VI Part 1		
Captain		Male	6	Henry VI Part 1		
Scout		Male	5	Henry VI Part 1		
Woodville		Male	5	Henry VI Part 1		
Soldier		Male	4	Henry VI Part 1		
Sentinel		Male	4	Henry VI Part 1		
Sergeant		Male	4	Henry VI Part 1		
Lawyer		Male	4	Henry VI Part 1		
Gaoler		Male	4	Henry VI Part 1		
Boy		Male	4	Henry VI Part 1		
First Soldier		Male	3	Henry VI Part 1		
First Warder		Male	3	Henry VI Part 1		
Second Servingman		Male	2	Henry VI Part 1		
Servingmen		Male	2	Henry VI Part 1		
Watch		Male	2	Henry VI Part 1		
Gargrave		Male	2	Henry VI Part 1		
All		Male	1	Henry VI Part 1		
Glansdale		Male	1	Henry VI Part 1		
First Sentinel		Male	1	Henry VI Part 1		
Second Warder		Male	1	Henry VI Part 1		
Servant		Male	1	Henry VI Part 1		
Legate		Male	1	Henry VI Part 1		
Porter		Male	1	Henry VI Part 1		
York		Male	379	Henry VI Part 2		
Queen		Female	316	Henry VI Part 2		
King		Male	314	Henry VI Part 2		
Gloucester		Male	303	Henry VI Part 2		
Suffolk		Male	298	Henry VI Part 2		
Cade		Male	238	Henry VI Part 2		
Warwick		Male	131	Henry VI Part 2		
Duchess		Female	119	Henry VI Part 2		
Cardinal		Male	103	Henry VI Part 2		
Salisbury		Male	94	Henry VI Part 2		
Buckingham		Male	74	Henry VI Part 2		
Lieutenant		Male	65	Henry VI Part 2		
Clifford		Male	56	Henry VI Part 2		
Iden		Male	51	Henry VI Part 2		
Say		Male	48	Henry VI Part 2		
Young Clifford		Male	46	Henry VI Part 2		
Dick		Male	36	Henry VI Part 2		
Hume		Male	31	Henry VI Part 2		
Peter		Male	25	Henry VI Part 2		
Simpcox		Male	25	Henry VI Part 2		
Somerset		Male	25	Henry VI Part 2		
Richard		Male	24	Henry VI Part 2		
Bolingbroke		Male	21	Henry VI Part 2		
Horner		Male	19	Henry VI Part 2		
Holland		Male	18	Henry VI Part 2		
Whitmore		Male	18	Henry VI Part 2		
Bevis		Male	17	Henry VI Part 2		
Stafford		Male	16	Henry VI Part 2		
Smith		Male	16	Henry VI Part 2		
Messenger		Male	15	Henry VI Part 2		
All		Male	13	Henry VI Part 2		
Vaux		Male	11	Henry VI Part 2		
First Messenger		Male	11	Henry VI Part 2		
Spirit		Male	9	Henry VI Part 2		
First Petitioner		Male	8	Henry VI Part 2		
Scales		Male	8	Henry VI Part 2		
Wife		Female	8	Henry VI Part 2		
Stanley		Male	7	Henry VI Part 2		
Brother		Male	7	Henry VI Part 2		
First Gentleman		Male	7	Henry VI Part 2		
Post		Male	6	Henry VI Part 2		
Second Petitioner		Male	6	Henry VI Part 2		
Second Messenger		Male	5	Henry VI Part 2		
First Murderer		Male	5	Henry VI Part 2		
First Citizen		Male	4	Henry VI Part 2		
Michael		Male	4	Henry VI Part 2		
Jourdain		Female	4	Henry VI Part 2		
Man		Male	4	Henry VI Part 2		
Sheriff		Male	4	Henry VI Part 2		
Clerk		Male	3	Henry VI Part 2		
First Neighbour		Male	3	Henry VI Part 2		
Commons		Male	2	Henry VI Part 2		
First Prentice		Male	2	Henry VI Part 2		
Herald		Male	2	Henry VI Part 2		
Mayor		Male	2	Henry VI Part 2		
Beadle		Male	2	Henry VI Part 2		
Second Murderer		Male	2	Henry VI Part 2		
Second Neighbour		Male	2	Henry VI Part 2		
Third Neighbour		Male	2	Henry VI Part 2		
Second Prentice		Male	2	Henry VI Part 2		
Servant		Male	2	Henry VI Part 2		
Soldier		Male	1	Henry VI Part 2		
Warwick And Salisbury		Male	1	Henry VI Part 2		
Second Gentleman		Male	1	Henry VI Part 2		
All Petitioners		Male	1	Henry VI Part 2		
Master		Male	1	Henry VI Part 2		
Mate		Male	1	Henry VI Part 2		
Edward		Male	1	Henry VI Part 2		
Warwick		Male	435	Henry VI Part 3		
Edward		Male	428	Henry VI Part 3		
Richard		Male	390	Henry VI Part 3		
King		Male	363	Henry VI Part 3		
Queen		Female	279	Henry VI Part 3		
York		Male	173	Henry VI Part 3		
Clifford		Male	140	Henry VI Part 3		
George		Male	105	Henry VI Part 3		
Lady Grey		Female	73	Henry VI Part 3		
Lewis		Male	67	Henry VI Part 3		
Prince		Male	46	Henry VI Part 3		
Messenger		Male	36	Henry VI Part 3		
Oxford		Male	35	Henry VI Part 3		
Somerset		Male	33	Henry VI Part 3		
Northumberland		Male	30	Henry VI Part 3		
Post		Male	29	Henry VI Part 3		
Father		Male	27	Henry VI Part 3		
Rutland		Male	24	Henry VI Part 3		
Son		Male	22	Henry VI Part 3		
Hastings		Male	20	Henry VI Part 3		
First Keeper		Male	17	Henry VI Part 3		
Exeter		Male	17	Henry VI Part 3		
Montague		Male	15	Henry VI Part 3		
Montgomery		Male	14	Henry VI Part 3		
Second Keeper		Male	14	Henry VI Part 3		
Westmorland		Male	11	Henry VI Part 3		
Third Watchman		Male	9	Henry VI Part 3		
Bona		Female	9	Henry VI Part 3		
First Watchman		Male	8	Henry VI Part 3		
Second Watchman		Male	7	Henry VI Part 3		
Rivers		Male	7	Henry VI Part 3		
Somerville		Male	5	Henry VI Part 3		
Mayor		Male	5	Henry VI Part 3		
